Designator,Mid X,Mid Y,Rotation,Layer
C1,187.6144,-49.8856,270.0,bottom
C10,212.74075,-83.7184,270.0,bottom
C11,211.14055,-97.4598,90.0,bottom
C12,204.76515,-97.663,90.0,bottom
C13,216.98255,-88.9,180.0,bottom
C14,187.03595,-83.4644,180.0,bottom
C15,218.9734,-81.2292,0.0,bottom
C16,222.36735,-84.6074,270.0,bottom
C17,210.1992,-32.5628,0.0,bottom
C18,214.2632,-40.6908,90.0,bottom
C19,219.0892,-35.6108,90.0,bottom
C2,195.5138,-59.8932,180.0,bottom
C20,219.0892,-40.1828,270.0,bottom
C21,204.7748,-34.6852,180.0,bottom
C22,193.0908,-36.2092,180.0,bottom
C23,199.4408,-40.7812,180.0,bottom
C24,196.1388,-42.3052,270.0,bottom
C3,202.75855,-94.2086,270.0,bottom
C4,201.48855,-88.646,0.0,bottom
C5,216.98255,-90.932,180.0,bottom
C6,204.76515,-94.2086,270.0,bottom
C7,201.48855,-90.678,180.0,bottom
C8,207.58455,-97.4344,90.0,bottom
C9,206.56855,-83.82,270.0,bottom
D1,195.5546,-188.28,270.0,top
D2,185.7502,-108.28,270.0,top
D3,224.5614,-108.28,270.0,top
J1,201.199,-69.85,0.0,bottom
J2,185.959,-69.85,0.0,bottom
J3,186.6442,-89.4426,270.0,top
J4,219.972,-21.2608,180.0,top
J5,186.34,-18.05,180.0,bottom
Q1,204.9667,-59.9948,270.0,bottom
R1,182.372,-23.622,0.0,bottom
R10,221.3752,-41.1988,180.0,bottom
R11,215.7872,-30.0228,270.0,bottom
R12,203.7588,-37.4792,0.0,bottom
R13,202.4888,-40.7812,180.0,bottom
R14,219.0892,-31.8008,270.0,bottom
R15,198.9328,-44.0832,0.0,bottom
R16,189.992,-23.622,0.0,bottom
R2,196.86575,-91.5416,180.0,bottom
R3,196.84035,-92.6084,0.0,bottom
R4,199.7456,-82.0674,0.0,bottom
R5,197.44995,-81.6356,90.0,bottom
R6,193.0146,-189.7634,180.0,bottom
R7,216.32215,-85.8266,270.0,bottom
R8,183.1594,-109.8042,180.0,bottom
R9,225.3488,-111.5314,0.0,bottom
RV2,211.587,-48.28,180.0,top
SW1,29.972,-46.19,0.0,top
SW10,49.972,-66.19,0.0,top
SW11,49.972,-86.19,0.0,top
SW12,49.972,-106.19,0.0,top
SW13,49.972,-126.19,0.0,top
SW14,49.972,-146.19,0.0,top
SW15,49.972,-166.19,0.0,top
SW16,49.972,-186.19,0.0,top
SW17,69.972,-46.19,0.0,top
SW18,69.972,-66.19,0.0,top
SW19,69.972,-86.19,0.0,top
SW2,29.972,-66.19,0.0,top
SW20,69.972,-106.19,0.0,top
SW21,69.972,-126.19,0.0,top
SW22,69.972,-146.19,0.0,top
SW23,69.972,-166.19,0.0,top
SW24,69.972,-186.19,0.0,top
SW25,89.972,-46.19,0.0,top
SW26,89.972,-66.19,0.0,top
SW27,89.972,-86.19,0.0,top
SW28,89.972,-106.19,0.0,top
SW29,89.972,-126.19,0.0,top
SW3,29.972,-86.19,0.0,top
SW30,89.972,-146.19,0.0,top
SW31,89.972,-166.19,0.0,top
SW32,89.972,-186.19,0.0,top
SW33,109.972,-46.19,0.0,top
SW34,109.972,-66.19,0.0,top
SW35,109.972,-86.19,0.0,top
SW36,109.972,-106.19,0.0,top
SW37,109.972,-126.19,0.0,top
SW38,109.972,-146.19,0.0,top
SW39,109.972,-166.19,0.0,top
SW4,29.972,-106.19,0.0,top
SW40,109.972,-186.19,0.0,top
SW41,129.972,-46.19,0.0,top
SW42,129.972,-66.19,0.0,top
SW43,129.972,-86.19,0.0,top
SW44,129.972,-106.19,0.0,top
SW45,129.972,-126.19,0.0,top
SW46,129.972,-146.19,0.0,top
SW47,129.972,-166.19,0.0,top
SW48,129.972,-186.19,0.0,top
SW49,149.972,-46.19,0.0,top
SW5,29.972,-126.19,0.0,top
SW50,149.972,-66.19,0.0,top
SW51,149.972,-86.19,0.0,top
SW52,149.972,-106.19,0.0,top
SW53,149.972,-126.19,0.0,top
SW54,149.972,-146.19,0.0,top
SW55,149.972,-166.19,0.0,top
SW56,149.972,-186.19,0.0,top
SW57,169.972,-46.19,0.0,top
SW58,169.972,-66.19,0.0,top
SW59,169.972,-86.19,0.0,top
SW6,29.972,-146.19,0.0,top
SW60,169.972,-106.19,0.0,top
SW61,169.972,-126.19,0.0,top
SW62,169.972,-146.19,0.0,top
SW63,169.972,-166.19,0.0,top
SW64,169.972,-186.19,0.0,top
SW65,203.9505,-25.9265,180.0,top
SW66,29.972,-25.7,0.0,top
SW67,49.972,-25.7,0.0,top
SW68,69.972,-25.7,0.0,top
SW69,89.972,-25.7,0.0,top
SW7,29.972,-166.19,0.0,top
SW70,109.972,-25.7,0.0,top
SW71,129.972,-25.7,0.0,top
SW72,149.972,-25.7,0.0,top
SW73,169.972,-25.7,0.0,top
SW75,202.83019805153393,-134.11030049996162,45.0,top
SW76,215.83019805153393,-147.11030049996162,45.0,top
SW77,189.83019805153393,-147.11030049996162,45.0,top
SW78,202.83019805153393,-160.11030049996162,45.0,top
SW79,204.972,-186.19,0.0,top
SW8,29.972,-186.19,0.0,top
SW80,194.9704,-106.19,0.0,top
SW81,214.9704,-106.19,0.0,top
SW83,209.972,-66.19,0.0,top
SW9,49.972,-46.19,0.0,top
U1,39.972,-118.28,90.0,bottom
U10,193.86855,-85.344,270.0,bottom
U11,99.972,-36.99,90.0,bottom
U14,198.6788,-36.7172,270.0,bottom
U15,215.0252,-35.1028,180.0,bottom
U2,79.972,-118.28,90.0,bottom
U3,119.972,-118.28,90.0,bottom
U4,159.972,-118.28,90.0,bottom
U5,187.229,-36.576,0.0,bottom
U6,192.6336,-70.4499,0.0,bottom
U7,185.928,-28.194,90.0,bottom
U8,210.00605,-89.786,0.0,bottom
U9,192.6944,-55.2196,180.0,bottom
Y1,219.11615,-84.4042,0.0,bottom
